CPT_CODE,DESCRIPTION,NON_FACILITY_PRICE,FACILITY_PRICE,SOURCE
01520,Anesth lower leg vein surg,0.0,0.0,master_cleaned
01522,Anesth lower leg vein surg,0.0,0.0,master_cleaned
0154A,Adm sarscv2 bvl 10mcg/.2ml a,0.0,0.0,master_cleaned
01610,Anesth surgery of shoulder,0.0,0.0,master_cleaned
01620,Anesth shoulder procedure,0.0,0.0,master_cleaned
01622,Anes dx shoulder arthroscopy,0.0,0.0,master_cleaned
01630,Anesth surgery of shoulder,0.0,0.0,master_cleaned
01634,Anesth shoulder joint amput,0.0,0.0,master_cleaned
01636,Anesth forequarter amput,0.0,0.0,master_cleaned
01638,Anesth shoulder replacement,0.0,0.0,master_cleaned
0163T,Tot disc arthrp ea addl lmbr,0.0,0.0,master
0164A,Adm srscv2 bvl 10mcg/0.2ml a,0.0,0.0,master_cleaned
0164T,Remove lumb artif disc addl,0.0,0.0,cms_pfs
01650,Anesth shoulder artery surg,0.0,0.0,master_cleaned
01652,Anesth shoulder vessel surg,0.0,0.0,master_cleaned
01654,Anesth shoulder vessel surg,0.0,0.0,master_cleaned
01656,Anesth arm-leg vessel surg,0.0,0.0,master_cleaned
0165T,Revise lumb artif disc addl,0.0,0.0,cms_pfs
01670,Anesth shoulder vein surg,0.0,0.0,master_cleaned
01680,Anesth shoulder casting,0.0,0.0,master_cleaned
01710,Anesth elbow area surgery,0.0,0.0,master_cleaned
01712,Anesth uppr arm tendon surg,0.0,0.0,master_cleaned
01714,Anesth uppr arm tendon surg,0.0,0.0,master_cleaned
01716,Anesth biceps tendon repair,0.0,0.0,master_cleaned
0171A,Adm sarscv2 bvl 3mcg/0.2ml 1,0.0,0.0,master_cleaned
0172A,Adm sarscv2 bvl 3mcg/0.2ml 2,0.0,0.0,master_cleaned
01730,Anesth uppr arm procedure,0.0,0.0,master_cleaned
01732,Anesth dx elbow arthroscopy,0.0,0.0,master_cleaned
0173A,Adm sarscv2 bvl 3mcg/0.2ml 3,0.0,0.0,master_cleaned
01740,Anesth upper arm surgery,0.0,0.0,master_cleaned
01742,Anesth humerus surgery,0.0,0.0,master_cleaned
01744,Anesth humerus repair,0.0,0.0,master_cleaned
0174A,Adm sarscv2 bvl 3mcg/0.2ml a,0.0,0.0,master_cleaned
0174T,Cad cxr with interp,0.0,0.0,cms_pfs
01756,Anesth radical humerus surg,0.0,0.0,master_cleaned
01758,Anesth humeral lesion surg,0.0,0.0,master_cleaned
0175T,Cad cxr remote,0.0,0.0,cms_pfs
01760,Anesth elbow replacement,0.0,0.0,master_cleaned
01770,Anesth uppr arm artery surg,0.0,0.0,master_cleaned
01772,Anesth uppr arm embolectomy,0.0,0.0,master_cleaned
01780,Anesth upper arm vein surg,0.0,0.0,master_cleaned
01782,Anesth uppr arm vein repair,0.0,0.0,master_cleaned
01810,Anesth lower arm surgery,0.0,0.0,master_cleaned
01820,Anesth lower arm procedure,0.0,0.0,master_cleaned
