cpt_code,description,NON_FACILITY_PRICE,FACILITY_PRICE
0121A,Adm sarscv2 bvl 30mcg/.3ml 1,0.0,299.52
01220,Anesth procedure on femur,0.0,299.52
01230,Anesth surgery of femur,0.0,299.52
01232,Anesth amputation of femur,0.0,299.52
01234,Anesth radical femur surg,0.0,299.52
0124A,Adm sarscv2 bvl 30mcg/.3ml a,0.0,299.52
01250,Anesth upper leg surgery,0.0,299.52
01260,Anesth upper leg veins surg,0.0,299.52
0126T,Chd risk imt study,0.0,0.0
01270,Anesth thigh arteries surg,0.0,299.52
01272,Anesth femoral artery surg,0.0,299.52
01274,Anesth femoral embolectomy,0.0,299.52
01320,Anesth knee area surgery,0.0,299.52
01340,Anesth knee area procedure,0.0,299.52
0134A,Adm sarscv2 bvl 50mcg/.5ml a,0.0,299.52
01360,Anesth knee area surgery,0.0,299.52
01380,Anesth knee joint procedure,0.0,299.52
01382,Anesth dx knee arthroscopy,0.0,299.52
01390,Anesth knee area procedure,0.0,299.52
01392,Anesth knee area surgery,0.0,299.52
01400,Anesth knee joint surgery,0.0,299.52
01402,Anesth knee arthroplasty,0.0,299.52
01404,Anesth amputation at knee,0.0,299.52
0141A,Adm srscv2 bvl 25mcg/.25ml 1,0.0,299.52
01420,Anesth knee joint casting,0.0,299.52
0142A,Adm srscv2 bvl 25mcg/.25ml 2,0.0,299.52
01430,Anesth knee veins surgery,0.0,299.52
01432,Anesth knee vessel surg,0.0,299.52
01440,Anesth knee arteries surg,0.0,299.52
01442,Anesth knee artery surg,0.0,299.52
01444,Anesth knee artery repair,0.0,299.52
0144A,Adm srscv2 bvl 25mcg/.25ml 2,0.0,299.52
01462,Anesth lower leg procedure,0.0,299.52
01464,Anesth ankle/ft arthroscopy,0.0,299.52
01470,Anesth lower leg surgery,0.0,299.52
01472,Anesth achilles tendon surg,0.0,299.52
01474,Anesth lower leg surgery,0.0,299.52
01480,Anesth lower leg bone surg,0.0,299.52
01482,Anesth radical leg surgery,0.0,299.52
01484,Anesth lower leg revision,0.0,299.52
01486,Anesth ankle replacement,0.0,299.52
01490,Anesth lower leg casting,0.0,299.52
01500,Anesth leg arteries surg,0.0,299.52
01502,Anesth lwr leg embolectomy,0.0,299.52
0151A,Adm sarscv2 bvl 10mcg/.2ml 1,0.0,299.52
01520,Anesth lower leg vein surg,0.0,299.52
01522,Anesth lower leg vein surg,0.0,299.52
0154A,Adm sarscv2 bvl 10mcg/.2ml a,0.0,299.52
01610,Anesth surgery of shoulder,0.0,299.52
01620,Anesth shoulder procedure,0.0,299.52
01622,Anes dx shoulder arthroscopy,0.0,299.52
01630,Anesth surgery of shoulder,0.0,299.52
01634,Anesth shoulder joint amput,0.0,299.52
01636,Anesth forequarter amput,0.0,299.52
01638,Anesth shoulder replacement,0.0,299.52
0163T,Tot disc arthrp ea addl lmbr,0.0,0.0
0164A,Adm srscv2 bvl 10mcg/0.2ml a,0.0,299.52
0164T,Remove lumb artif disc addl,0.0,0.0
01650,Anesth shoulder artery surg,0.0,299.52
01652,Anesth shoulder vessel surg,0.0,299.52
01654,Anesth shoulder vessel surg,0.0,299.52
01656,Anesth arm-leg vessel surg,0.0,299.52
0165T,Revise lumb artif disc addl,0.0,0.0
01670,Anesth shoulder vein surg,0.0,299.52
01680,Anesth shoulder casting,0.0,299.52
01710,Anesth elbow area surgery,0.0,299.52
01712,Anesth uppr arm tendon surg,0.0,299.52
01714,Anesth uppr arm tendon surg,0.0,299.52
01716,Anesth biceps tendon repair,0.0,299.52
0171A,Adm sarscv2 bvl 3mcg/0.2ml 1,0.0,299.52
0172A,Adm sarscv2 bvl 3mcg/0.2ml 2,0.0,299.52
01730,Anesth uppr arm procedure,0.0,299.52
01732,Anesth dx elbow arthroscopy,0.0,299.52
0173A,Adm sarscv2 bvl 3mcg/0.2ml 3,0.0,299.52
01740,Anesth upper arm surgery,0.0,299.52
01742,Anesth humerus surgery,0.0,299.52
01744,Anesth humerus repair,0.0,299.52
0174A,Adm sarscv2 bvl 3mcg/0.2ml a,0.0,299.52
0174T,Cad cxr with interp,0.0,0.0
01756,Anesth radical humerus surg,0.0,299.52
01758,Anesth humeral lesion surg,0.0,299.52
0175T,Cad cxr remote,0.0,0.0
01760,Anesth elbow replacement,0.0,299.52
01770,Anesth uppr arm artery surg,0.0,299.52
01772,Anesth uppr arm embolectomy,0.0,299.52
01780,Anesth upper arm vein surg,0.0,299.52
01782,Anesth uppr arm vein repair,0.0,299.52
01810,Anesth lower arm surgery,0.0,299.52
01820,Anesth lower arm procedure,0.0,299.52
01829,Anesth dx wrist arthroscopy,0.0,299.52
01830,Anesth lower arm surgery,0.0,299.52
01832,Anesth wrist replacement,0.0,299.52
01840,Anesth lwr arm artery surg,0.0,299.52
01842,Anesth lwr arm embolectomy,0.0,299.52
01844,Anesth vascular shunt surg,0.0,299.52
0184T,Exc rectal tumor endoscopic,0.0,0.0
01850,Anesth lower arm vein surg,0.0,299.52
01852,Anesth lwr arm vein repair,0.0,299.52
01860,Anesth lower arm casting,0.0,299.52
01916,Anesth dx arteriography,0.0,299.52
0191T,Insert ant segment drain int,0.0,0.0
01920,Anesth catheterize heart,0.0,299.52
01922,Anesth cat or mri scan,0.0,299.52
01924,Anes ther interven rad artrl,0.0,299.52
01925,Anes ther interven rad card,0.0,299.52
01926,Anes tx interv rad hrt/cran,0.0,299.52
01930,Anes ther interven rad vein,0.0,299.52
